"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
CL,Antofagasta,CL-AN,414e00
CL,Arica y Parinacota,CL-AP,415000
CL,Atacama,CL-AT,415400
CL,Biobio,CL-BI,424900
CL,Coquimbo,CL-CO,434f00
CL,La Araucania,CL-AR,415200
CL,Libertador General Bernardo O'Higgins,CL-LI,4c4900
CL,Los Lagos,CL-LL,4c4c00
CL,Los Rios,CL-LR,4c5200
CL,Magallanes,CL-MA,4d4100
CL,Maule,CL-ML,4d4c00
CL,Region Metropolitana de Santiago,CL-RM,524d00
CL,Tarapaca,CL-TA,544100
CL,Valparaiso,CL-VS,565300
CM,Adamaoua,CM-AD,414400
CM,Centre,CM-CE,434500
CM,Est,CM-ES,455300
CM,Extreme-Nord,CM-EN,454e00
CM,Littoral,CM-LT,4c5400
CM,Nord,CM-NO,4e4f00
CM,Nord-Ouest,CM-NW,4e5700
CM,Ouest,CM-OU,4f5500
CM,Sud,CM-SU,535500
CM,Sud-Ouest,CM-SW,535700
CN,Anhui,CN-AH,414800
CN,Beijing,CN-BJ,424a00
CN,Chongqing,CN-CQ,435100
CN,Fujian,CN-FJ,464a00
CN,Gansu,CN-GS,475300
CN,Guangdong,CN-GD,474400
CN,Guangxi,CN-GX,475800
CN,Guizhou,CN-GZ,475a00
CN,Hainan,CN-HI,484900
CN,Hebei,CN-HE,484500
CN,Heilongjiang,CN-HL,484c00
CN,Henan,CN-HA,484100
CN,Hubei,CN-HB,484200
CN,Hunan,CN-HN,484e00
CN,Jiangsu,CN-JS,4a5300
CN,Jiangxi,CN-JX,4a5800
CN,Jilin,CN-JL,4a4c00
CN,Liaoning,CN-LN,4c4e00
CN,Nei Mongol,CN-NM,4e4d00
CN,Ningxia,CN-NX,4e5800
CN,Qinghai,CN-QH,514800
CN,Shaanxi,CN-SN,534e00
CN,Shandong,CN-SD,534400
CN,Shanghai,CN-SH,534800
CN,Shanxi,CN-SX,535800
CN,Sichuan,CN-SC,534300
CN,Tianjin,CN-TJ,544a00
CN,Xinjiang,CN-XJ,584a00
CN,Xizang,CN-XZ,585a00
CN,Yunnan,CN-YN,594e00
CN,Zhejiang,CN-ZJ,5a4a00
CO,Amazonas,CO-AMA,414d41
CO,Antioquia,CO-ANT,414e54
CO,Arauca,CO-ARA,415241
CO,Atlantico,CO-ATL,41544c
CO,Bolivar,CO-BOL,424f4c
CO,Boyaca,CO-BOY,424f59
CO,Caldas,CO-CAL,43414c
CO,Caqueta,CO-CAQ,434151
CO,Casanare,CO-CAS,434153
CO,Cauca,CO-CAU,434155
CO,Cesar,CO-CES,434553
CO,Choco,CO-CHO,43484f
CO,Cordoba,CO-COR,434f52
CO,Cundinamarca,CO-CUN,43554e
CO,Distrito Capital de Bogota,CO-DC,444300
CO,Guainia,CO-GUA,475541
CO,Guaviare,CO-GUV,475556
CO,Huila,CO-HUI,485549
CO,La Guajira,CO-LAG,4c4147
CO,Magdalena,CO-MAG,4d4147
CO,Meta,CO-MET,4d4554
CO,Narino,CO-NAR,4e4152
CO,Norte de Santander,CO-NSA,4e5341
CO,Putumayo,CO-PUT,505554
CO,Quindio,CO-QUI,515549
CO,Risaralda,CO-RIS,524953
CO,"San Andres, Providencia y Santa Catalina",CO-SAP,534150
CO,Santander,CO-SAN,53414e
CO,Sucre,CO-SUC,535543
CO,Tolima,CO-TOL,544f4c
CO,Valle del Cauca,CO-VAC,564143
CO,Vaupes,CO-VAU,564155
CO,Vichada,CO-VID,564944
CR,Alajuela,CR-A,410000
CR,Cartago,CR-C,430000
CR,Guanacaste,CR-G,470000
CR,Heredia,CR-H,480000
CR,Limon,CR-L,4c0000
CR,Puntarenas,CR-P,500000
CR,San Jose,CR-SJ,534a00
CU,Artemisa,CU-15,313500
CU,Camaguey,CU-09,303900
CU,Ciego de Avila,CU-08,303800
CU,Cienfuegos,CU-06,303600
CU,Granma,CU-12,313200
CU,Guantanamo,CU-14,313400
CU,Holguin,CU-11,313100
CU,Isla de la Juventud,CU-99,393900
CU,La Habana,CU-03,303300
CU,Las Tunas,CU-10,313000
CU,Matanzas,CU-04,303400
CU,Mayabeque,CU-16,313600
CU,Pinar del Rio,CU-01,303100
CU,Sancti Spiritus,CU-07,303700
CU,Santiago de Cuba,CU-13,313300
CU,Villa Clara,CU-05,303500
CV,Boa Vista,CV-BV,425600
CV,Brava,CV-BR,425200
CV,Maio,CV-MA,4d4100
CV,Mosteiros,CV-MO,4d4f00
CV,Paul,CV-PA,504100
CV,Porto Novo,CV-PN,504e00
CV,Praia,CV-PR,505200
CV,Ribeira Brava,CV-RB,524200
CV,Ribeira Grande,CV-RG,524700
CV,Ribeira Grande de Santiago,CV-RS,525300
CV,Sal,CV-SL,534c00
CV,Santa Catarina,CV-CA,434100
CV,Santa Catarina do Fogo,CV-CF,434600
CV,Santa Cruz,CV-CR,435200
CV,Sao Domingos,CV-SD,534400
CV,Sao Filipe,CV-SF,534600
CV,Sao Miguel,CV-SM,534d00
CV,Sao Salvador do Mundo,CV-SS,535300
CV,Sao Vicente,CV-SV,535600
CV,Tarrafal,CV-TA,544100
CV,Tarrafal de Sao Nicolau,CV-TS,545300
CY,Ammochostos,CY-04,303400
CY,Keryneia,CY-06,303600
CY,Larnaka,CY-03,303300
CY,Lefkosia,CY-01,303100
CY,Lemesos,CY-02,303200
CY,Pafos,CY-05,303500
CZ,Jihocesky kraj,CZ-JC,4a4300
CZ,Jihomoravsky kraj,CZ-JM,4a4d00
CZ,Karlovarsky kraj,CZ-KA,4b4100
CZ,Kraj Vysocina,CZ-63,363300
CZ,Kralovehradecky kraj,CZ-KR,4b5200
CZ,Liberecky kraj,CZ-LI,4c4900
CZ,Moravskoslezsky kraj,CZ-MO,4d4f00
CZ,Olomoucky kraj,CZ-OL,4f4c00
CZ,Pardubicky kraj,CZ-PA,504100
CZ,Plzensky kraj,CZ-PL,504c00
CZ,"Praha, Hlavni mesto",CZ-10,313000
CZ,Stredocesky kraj,CZ-ST,535400
CZ,Ustecky kraj,CZ-US,555300
CZ,Zlinsky kraj,CZ-ZL,5a4c00
DE,Baden-Wurttemberg,DE-BW,425700
DE,Bayern,DE-BY,425900
DE,Berlin,DE-BE,424500
DE,Brandenburg,DE-BB,424200
DE,Bremen,DE-HB,484200
DE,Hamburg,DE-HH,484800
DE,Hessen,DE-HE,484500
DE,Mecklenburg-Vorpommern,DE-MV,4d5600
DE,Niedersachsen,DE-NI,4e4900
DE,Nordrhein-Westfalen,DE-NW,4e5700
DE,Rheinland-Pfalz,DE-RP,525000
DE,Saarland,DE-SL,534c00
DE,Sachsen,DE-SN,534e00
DE,Sachsen-Anhalt,DE-ST,535400
DE,Schleswig-Holstein,DE-SH,534800
DE,Thuringen,DE-TH,544800
DJ,Ali Sabieh,DJ-AS,415300
DJ,Arta,DJ-AR,415200
DJ,Dikhil,DJ-DI,444900
DJ,Djibouti,DJ-DJ,444a00
DJ,Obock,DJ-OB,4f4200
DJ,Tadjourah,DJ-TA,544100
DK,Hovedstaden,DK-84,383400
DK,Midtjylland,DK-82,383200
DK,Nordjylland,DK-81,383100
DK,Sjelland,DK-85,383500
DK,Syddanmark,DK-83,383300
DM,Saint Andrew,DM-02,303200
DM,Saint David,DM-03,303300
DM,Saint George,DM-04,303400
DM,Saint John,DM-05,303500
DM,Saint Joseph,DM-06,303600
